Gene,Mean,Dispersion,Dispersion_norm
DIMT1,0.5932572099798421,2.4976296818715227,1.0103492
CTA-384D8.36,0.05670033114742098,2.6711939544406893,1.010341
RP11-379K17.12,0.02139449546418725,2.6709247538778347,1.0087883
SERPINE2,0.08271027568287666,2.670915824623178,1.0087368
RPL23,2.482915491447862,1.08390129726284,1.0078043
ATP5E,2.33979807959719,1.4512275998749748,1.0072472
H6PD,0.20250317407869334,2.5864274996650094,1.0066104
EIF3F,2.1941322788796134,1.6528868764156732,1.0065361
SEC24B,0.3273591519325269,2.547538510055044,1.006078
RPEL1,0.0303095640075672,2.670437071425283,1.0059754
SUPT7L,0.31659146615393,2.5475055922394976,1.0055621
SMCO4,0.7636253466620353,2.466271055733454,1.0054677
ZNF559,0.16202035403545417,2.586325491733813,1.0054047
ZNF773,0.09977209451427083,2.670298847106612,1.0051781
AMN1,0.19499866476972566,2.5862923017236708,1.0050124
ARRDC4,0.07691510852406544,2.670243089262637,1.0048565
CTA-445C9.14,0.012888322321881777,2.670171976445696,1.0044464
CTD-2336O2.1,0.43479914532831476,2.5214783718543714,1.0044303
GZF1,0.12425720445972936,2.6700131693202884,1.0035304
ZNF91,0.4600116435894939,2.5213431547347205,1.0019025
RP11-796E2.4,0.9345581351112364,2.441032155790496,1.0015173
PITPNA-AS1,0.47606985469398216,2.5212776813592903,1.0006784
KAT7,0.35212978759429386,2.547188269251539,1.0005883
THUMPD2,0.14487192489680428,2.5859126613673813,1.0005252
ATP6V1F,1.6734414886183981,2.1743092180621644,0.9995703
ATP6V1E1,1.0851501893002151,2.4054220317795236,0.99867827
SSBP2,0.46170594590886255,2.521168526903049,0.9986378
PRDX6,1.4595996015579582,2.2770843087059625,0.99861383
CBLN3,0.036056146027062544,2.669117337607587,0.9983632
PTPRJ,0.10825430330926408,2.668958349542776,0.9974461
RP11-463J10.3,0.04899301314457365,2.6688412470385914,0.9967707
NFIA,0.05847293432384152,2.6687632825959353,0.996321
CTB-31O20.2,0.42733615823618726,2.5210264669671374,0.99598205
PIEZO1,0.33449131719766206,2.5468843002810395,0.9958238
IDE,0.16069459728334684,2.585500885707729,0.9956582
GGCX,0.29263420331666695,2.5468681536112205,0.9955707
TESK2,0.05620564284522441,2.6685281677581596,0.99496484
SLFN12,0.08547208884390638,2.668524870609234,0.9949458
HELZ,0.4799466589611982,2.520970279082302,0.99493164
COL19A1,0.07010345098238692,2.668404685949497,0.9942526
TMA7,2.228188180491461,1.6518981473111696,0.99393946
HECTD1,0.5704353641262558,2.4968187584150763,0.9937141
RP11-112J3.16,0.043920415830497835,2.6681890397435364,0.9930088
CCDC115,1.0558522214125399,2.4051795293133003,0.9927706
SCAPER,0.32511523282735416,2.546651619923002,0.9921767
DDX6,0.9207262809666757,2.4406444374935377,0.99214953
SUMF2,0.7871631875959313,2.465685515788661,0.99192494
RPL17,2.6279895664573307,0.5047626669222748,0.99146646
TSC22D3,2.3509434590805984,1.449291283345288,0.9910242
SENP7,0.26209758695155394,2.5850524085104944,0.99035746
VAMP1,0.225083543858619,2.5849822633886324,0.98952836
TTLL3,0.16127581138974012,2.5848570468054954,0.9880484
ST6GALNAC3,0.03285888010090119,2.667234415617281,0.9875025
GLMN,0.3260858118459028,2.5463156045670323,0.9869099
PKM,1.7837649148496915,2.0853158871887865,0.98647934
ZNF79,0.04411391060130784,2.667026302801237,0.98630214
RCAN3,0.8263714573147105,2.4403831613601663,0.9858368
RP11-863K10.7,0.015466604020501753,2.6668887794354528,0.98550886
PIAS1,0.5936986254587817,2.4964146719048284,0.9854248
SP100,1.4291422370278781,2.27654546540685,0.9852209
MARCH3,0.1080661336599242,2.666775907731347,0.98485786
ZNF212,0.11249617686054517,2.666604017594896,0.9838664
BBX,0.9850050519312333,2.4048041141809398,0.98362505
PSD4,0.4199093973640643,2.5203605941819793,0.9835337
SUPV3L1,0.23665726146491534,2.584370256156962,0.98229474
MDN1,0.14739721573923242,2.5842069518263866,0.98036456
TTC31,0.20246452088515496,2.5841518982850626,0.97971386
HAS3,0.01606763388462222,2.6658458933530853,0.97949356
OXR1,0.25390631190825835,2.5841130251231355,0.97925436
FAF1,0.3778497629253423,2.54568686610239,0.97705495
GTPBP2,0.10524884836832135,2.6654041877816574,0.97694576
DGCR2,0.28956036239811384,2.5456742389836817,0.97685707
ERGIC3,1.370275174747573,2.2762020254854742,0.97668475
ZNF492,0.01619781672630833,2.66532440909567,0.9764856
RAB11FIP1,0.569253107461728,2.4959513103975492,0.9759196
AC195454.1,0.01472190876503496,2.6650802014332267,0.97507703
CTD-2210P24.4,0.02063756105938505,2.6649883708924182,0.9745473
WWP1,0.27961911865553823,2.545485176003281,0.97389364
IQCE,0.05901730682205484,2.664733771193556,0.97307885
STAG3,0.1588903097866242,2.583578441377551,0.97293586
RASSF7,0.6923632448164295,2.4648554360304993,0.97272635
C1orf109,0.21822100881618384,2.5835497813953743,0.9725971
GSTM4,0.0992267149134077,2.66462325805512,0.9724414
SGSM1,0.022918949307366772,2.6646020170026943,0.9723189
ARHGAP25,0.8245767707429954,2.439819661330609,0.97222203
